country_code,country_iso,country_fri_pes,country_ldi,country_temp,country_precip
ABW,Aruba,Aruba,Aruba,,Aruba
AFG,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan
AGO,Angola,Angola,Angola,Angola,Angola
AIA,Anguilla,Anguilla,Anguilla,,
ALA,Åland Islands,,,,
ALB,Albania,Albania,Albania,Albania,Albania
AND,Andorra,Andorra,Andorra,Andorra,Andorra
ARE,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates
ARG,Argentina,Argentina,Argentina,Argentina,Argentina
ARM,Armenia,Armenia,Armenia,Armenia,Armenia
ASM,American Samoa,American Samoa,American Samoa,,American Samoa
ATA,Antarctica,,,,
ATF,French Southern and Antarctic Territories,,,,
ATG,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda
AUS,Australia,Australia,Australia,Australia,Australia
AUT,Austria,Austria,Austria,Austria,Austria
AZE,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan
BDI,Burundi,Burundi,Burundi,Burundi,Burundi
BEL,Belgium,Belgium,Belgium,Belgium,Belgium
BEN,Benin,Benin,Benin,Benin,Benin
BES,"Bonaire, Sint Eustatius and Saba",,,,
BFA,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso
BGD,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh
BGR,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria
BHR,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain
BHS,Bahamas,Bahamas,"Bahamas, The",Bahamas,Bahamas
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina
BLM,Saint Barthélemy,,,,
BLR,Belarus,Belarus,Belarus,Belarus,Belarus
BLZ,Belize,Belize,Belize,Belize,Belize
BMU,Bermuda,Bermuda,Bermuda,,Bermuda
BOL,Bolivia (Plurinational State of),Bolivia,Bolivia,Bolivia,Bolivia
BRA,Brazil,Brazil,Brazil,Brazil,Brazil
BRB,Barbados,Barbados,Barbados,Barbados,Barbados
BRN,Brunei Darussalam,Brunei,Brunei,Brunei,Brunei
BTN,Bhutan,Bhutan,Bhutan,Bhutan,Bhutan
BVT,Bouvet Island,,,,
BWA,Botswana,Botswana,Botswana,Botswana,Botswana
CAF,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic
CAN,Canada,Canada,Canada,Canada,Canada
CCK,Cocos (Keeling) Islands,,,,
CHE,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland
CHL,Chile,Chile,Chile,Chile,Chile
CHN,China,China,China,China,China
CH_,"China, mainland",,,,
CIV,Côte d'Ivoire,Cote d'Ivoire,Côte d'Ivoire,Ivory Coast,Ivory Coast
CMR,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon
COD,Democratic Republic of the Congo,"Congo, Dem. Rep.","Congo, Democratic Republic of the",Democratic Republic of the Congo,DR Congo
COG,Congo,"Congo, Rep.","Congo, Republic of the",Republic of the Congo,Congo
COK,Cook Islands,Cook Islands,Cook Islands,,
COL,Colombia,Colombia,Colombia,Colombia,Colombia
COM,Comoros,,Comoros,Comoros,Comoros
CPV,Cabo Verde,Cabo Verde,Cape Verde,Cape Verde,Cape Verde
CRI,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica
CUB,Cuba,Cuba,Cuba,Cuba,Cuba
CUW,Curaçao,,,,Curaçao
CXR,Christmas Island,,,,
CYM,Cayman Islands,Cayman Islands,Cayman Islands,,Cayman Islands
CYP,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus
CZE,Czechia,Czech Republic,Czech Republic,Czech Republic,Czech Republic
DEU,Germany,Germany,Germany,Germany,Germany
DJI,Djibouti,,Djibouti,Djibouti,Djibouti
DMA,Dominica,,Dominica,Dominica,Dominica
DNK,Denmark,Denmark,Denmark,Denmark,Denmark
DOM,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic
DZA,Algeria,Algeria,Algeria,Algeria,Algeria
ECU,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador
EGY,Egypt,Egypt,Egypt,Egypt,Egypt
ERI,Eritrea,Eritrea,Eritrea,Eritrea,Eritrea
ESH,Western Sahara,,,,
